"NAME","Total","White","Black","Asian","Hispanic","Other","p_White","p_Black","p_Asian","p_Hispanic","p_Other","entropy5","entropy4","entropy_rice","gini_simpson","FIPS"
"Boston-Worcester-Manchester, MA-RI-NH CSA (part); Boston-Worcester-Manchester, MA-RI-NH CSA (part); Boston-Worcester-Manchester, MA-RI-NH CSA (part)",7559060,5872738,407031,380411,673917,224963,0.77691379615984,0.05384677459895807,0.050325172706659295,0.0891535455466685,0.029760710987874153,0.5119690673708964,0.51305124428809,0.5189276238205275,0.38213880059179484,"148"
"Brownsville-Harlingen-Raymondville, TX CSA",428354,45662,1581,2620,377044,1447,0.1065987477646993,0.0036908725026496775,0.0061164364054030074,0.8802158961980044,0.0033780471292435697,0.2622148436639854,0.2890997741838277,0.2905558070787143,0.2137942385188023,"154"
"Buffalo-Niagara-Cattaraugus, NY CSA",1215826,976912,135393,25952,47770,29799,0.8034965529607032,0.11135886220561166,0.021345159586980373,0.039290161585621625,0.024509263661083084,0.447614592202339,0.44760490537747466,0.4540956850734717,0.339392456548113,"160"
"Cape Girardeau-Sikeston-Jackson, MO-IL CSA (part); Cape Girardeau-Sikeston-Jackson, MO-IL CSA (part)",135466,116809,12666,1062,2434,2495,0.8622754048986462,0.09349947588324746,0.007839605509869636,0.01796760810830762,0.018417905599929132,0.3312600722476791,0.32432291132620894,0.3315121674939418,0.24701546051406187,"164"
"Carbondale-Marion-Herrin, IL CSA",126575,106465,11002,2447,3704,2957,0.8411218645072092,0.0869207979458819,0.019332411613667787,0.029263282638751727,0.023361643294489434,0.3884860633792202,0.37993404979146767,0.38771163487378296,0.28318293570535247,"166"
"Charlotte-Gastonia-Salisbury, NC-SC CSA (part); Charlotte-Gastonia-Salisbury, NC-SC CSA (part)",2402623,1565003,516992,61937,208277,50414,0.6513726872672075,0.2151781615342898,0.025778909133892417,0.08668734129324493,0.020982900771365297,0.6195793812901292,0.6596894614541714,0.6608233056944027,0.5207924516596137,"172"
"Chattanooga-Cleveland-Athens, TN-GA CSA (part); Chattanooga-Cleveland-Athens, TN-GA CSA (part)",696197,571296,79003,8402,25069,12427,0.8205953200028153,0.11347793799743464,0.01206842316183494,0.03600848610378959,0.01784983273412554,0.40638822508868766,0.41460702966381807,0.41996668957956096,0.3119852039395913,"174"
"Chicago-Naperville-Michigan City, IL-IN-WI CSA (part); Chicago-Naperville-Michigan City, IL-IN-WI CSA (part); Chicago-Naperville-Michigan City, IL-IN-WI CSA (part)",9686021,5378402,1642477,528457,1973340,163345,0.5552746581903962,0.16957190160954638,0.05455872953403673,0.20373071666889842,0.016863993997122243,0.7326927615911172,0.8024368969978859,0.8009662511676181,0.6181481699797349,"176"
"Cincinnati-Middletown-Wilmington, OH-KY-IN CSA (part); Cincinnati-Middletown-Wilmington, OH-KY-IN CSA (part); Cincinnati-Middletown-Wilmington, OH-KY-IN CSA (part)",2172191,1778271,254722,40329,55679,43190,0.8186531479045811,0.1172650103052632,0.01856604690839802,0.025632644643127606,0.019883150238630028,0.4106847565392579,0.4146426586701393,0.4205973743268641,0.31465887055140895,"178"
"Claremont-Lebanon, NH-VT CSA (part); Claremont-Lebanon, NH-VT CSA (part)",218466,206372,1361,3551,3071,4111,0.9446412714106542,0.006229802349106955,0.016254245511887432,0.014057107284428699,0.018817573443922625,0.17838679221355536,0.14240584443263793,0.15317159825744975,0.10679815407766968,"180"
