"NAME","Total","White","Black","Asian","Hispanic","Other","FIPS"
"Monroe-Bastrop, LA CSA",204420,121222,75177,1558,3958,2505,"384"
"Montgomery-Alexander City, AL CSA",427691,228985,173226,5998,13112,6370,"388"
"Myrtle Beach-Conway-Georgetown, SC CSA",329449,245407,55881,3043,18550,6568,"396"
"Nashville-Davidson--Murfreesboro--Columbia, TN CSA",1670890,1240988,249925,36456,109276,34245,"400"
"New Orleans-Metairie-Bogalusa, LA CSA",1214932,659897,407147,31598,92809,23481,"406"
"New York-Newark-Bridgeport, NY-NJ-CT-PA CSA (part); New York-Newark-Bridgeport, NY-NJ-CT-PA CSA (part); New York-Newark-Bridgeport, NY-NJ-CT-PA CSA (part); New York-Newark-Bridgeport, NY-NJ-CT-PA CSA (part)",22085649,11421394,3383420,1990071,4790542,500222,"408"
"Oklahoma City-Shawnee, OK CSA",1322429,896746,130143,35181,144920,115439,"416"
"Omaha-Council Bluffs-Fremont, NE-IA CSA (part); Omaha-Council Bluffs-Fremont, NE-IA CSA (part)",902041,713292,67047,17972,81197,22533,"420"
"Orlando-Deltona-Daytona Beach, FL CSA",2818120,1660043,388449,93164,607906,68558,"422"
"Paducah-Mayfield, KY-IL CSA (part); Paducah-Mayfield, KY-IL CSA (part)",135883,118498,9921,717,3985,2762,"424"
"Peoria-Canton, IL CSA",416255,353890,35597,7190,11412,8166,"426"
"Philadelphia-Camden-Vineland, PA-NJ-DE-MD CSA (part); Philadelphia-Camden-Vineland, PA-NJ-DE-MD CSA (part); Philadelphia-Camden-Vineland, PA-NJ-DE-MD CSA (part); Philadelphia-Camden-Vineland, PA-NJ-DE-MD CSA (part)",6533683,4271182,1250196,300754,577980,133571,"428"
"Pittsburgh-New Castle, PA CSA",2447393,2136035,197871,41401,30900,41186,"430"
"Portland-Lewiston-South Portland, ME CSA",621800,579484,11708,8824,9645,12139,"438"
"Port St. Lucie-Sebastian-Vero Beach, FL CSA",562135,394344,70940,7382,79341,10128,"442"
"Raleigh-Durham-Cary, NC CSA",1749525,1069497,382314,72503,183786,41425,"450"
"Reno-Sparks-Fernley, NV CSA",477397,322379,9491,22055,101626,21846,"456"
"Rochester-Batavia-Seneca Falls, NY CSA",1149653,911414,119280,27145,67287,24527,"464"
"Rockford-Freeport-Rochelle, IL CSA",450639,342990,41028,7925,49291,9405,"466"
"Sacramento--Arden-Arcade--Yuba City, CA-NV CSA (part); Sacramento--Arden-Arcade--Yuba City, CA-NV CSA (part)",2461780,1412158,154774,270665,492578,131605,"472"
"Saginaw-Bay City-Saginaw Township North, MI CSA",307940,239428,38796,2633,20666,6417,"474"
"St. Louis-St. Charles-Farmington, MO-IL CSA (part); St. Louis-St. Charles-Farmington, MO-IL CSA (part)",2878255,2173585,516342,59922,72797,55609,"476"
"Salisbury-Ocean Pines, MD CSA",176657,120894,41589,3212,6963,3999,"480"
"Salt Lake City-Ogden-Clearfield, UT CSA",1744886,1358783,21490,42911,258892,62810,"482"
"San Jose-San Francisco-Oakland, CA CSA",7468390,3210454,462837,1657828,1797078,340193,"488"
"Santa Fe-Espanola, NM CSA",184416,68439,1050,1707,101718,11502,"492"
"Sarasota-Bradenton-Punta Gorda, FL CSA",862259,696556,52886,11905,87201,13711,"494"
"Savannah-Hinesville-Fort Stewart, GA CSA",425528,234825,146025,8419,25144,11115,"496"
"Seattle-Tacoma-Olympia, WA CSA",4199312,2943290,200700,420305,371797,263220,"500"
"Shreveport-Bossier City-Minden, LA CSA",439811,244119,168100,4679,14486,8427,"508"
"Sioux City-Vermillion, IA-NE-SD CSA (part); Sioux City-Vermillion, IA-NE-SD CSA (part); Sioux City-Vermillion, IA-NE-SD CSA (part)",157441,122263,3307,3383,22616,5872,"512"
"South Bend-Elkhart-Mishawaka, IN-MI CSA (part); South Bend-Elkhart-Mishawaka, IN-MI CSA (part)",563834,442058,47368,7408,52822,14178,"515"
"Sunbury-Lewisburg-Selinsgrove, PA CSA",179177,165604,5237,1056,5256,2024,"526"
"Syracuse-Auburn, NY CSA",742603,628145,53827,16042,24593,19996,"532"
"Toledo-Fremont, OH CSA",712373,556493,87511,9075,43168,16126,"534"
"Tulsa-Bartlesville, OK CSA",988454,674319,78877,16869,81002,137387,"538"
"Tyler-Jacksonville, TX CSA",260559,162138,44596,2771,46587,4467,"540"
"Union City-Martin, TN-KY CSA (part); Union City-Martin, TN-KY CSA (part)",73641,62657,7677,485,1752,1070,"542"
"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV CSA (part); Washington-Baltimore-Northern Virginia, DC-MD-VA-WV CSA (part); Washington-Baltimore-Northern Virginia, DC-MD-VA-WV CSA (part); Washington-Baltimore-Northern Virginia, DC-MD-VA-WV CSA (part)",8572971,4560162,2207232,640825,912129,252623,"548"
"Wausau-Merrill, WI CSA",162806,148770,972,7231,3332,2501,"554"
"Wichita-Winfield, KS CSA",659372,489562,47697,21500,75374,25239,"556"
"Williamsport-Lock Haven, PA CSA",155349,144328,5672,862,1996,2491,"558"
"York-Hanover-Gettysburg, PA CSA",536379,466609,23943,6073,30512,9242,"564"
"Youngstown-Warren-East Liverpool, OH-PA CSA (part); Youngstown-Warren-East Liverpool, OH-PA CSA (part)",673614,579120,62543,3671,16533,11747,"566"
