"NAME","Total","White","Black","Asian","Hispanic","Other","FIPS"
"Cape Coral-Fort Myers, FL Metro Area",618754,439048,47751,8252,113308,10395,"15980"
"Cape Girardeau-Jackson, MO-IL Metro Area (part); Cape Girardeau-Jackson, MO-IL Metro Area (part)",96275,83552,8230,929,1729,1835,"16020"
"Carbondale, IL Micro Area",60218,45746,8488,1890,2403,1691,"16060"
"Carlsbad-Artesia, NM Micro Area",53829,28111,589,325,23731,1073,"16100"
"Carson City, NV Metro Area",55274,39083,1003,1139,11777,2272,"16180"
"Casper, WY Metro Area",75450,67191,621,479,5231,1928,"16220"
"Cedar City, UT Micro Area",46163,40226,204,333,3563,1837,"16260"
"Cedar Rapids, IA Metro Area",257940,233695,8658,3939,6079,5569,"16300"
"Cedartown, GA Micro Area",41475,30492,5150,270,4885,678,"16340"
"Celina, OH Micro Area",40814,39453,91,180,614,476,"16380"
"Central City, KY Micro Area",31499,29301,1417,43,367,371,"16420"
"Centralia, IL Micro Area",39437,36456,1536,224,542,679,"16460"
"Centralia, WA Micro Area",75455,64881,370,643,6527,3034,"16500"
"Chambersburg, PA Micro Area",149618,135004,4348,1294,6438,2534,"16540"
"Champaign-Urbana, IL Metro Area",231891,172266,24687,17964,11068,5906,"16580"
"Charleston, WV Metro Area",304284,279242,14574,2443,2522,5503,"16620"
"Charleston-Mattoon, IL Micro Area",64921,60145,2057,548,1230,941,"16660"
"Charleston-North Charleston-Summerville, SC Metro Area",664607,420240,182363,10657,35707,15640,"16700"
"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area (part); Charlotte-Gastonia-Rock Hill, NC-SC Metro Area (part)",1758038,1076021,414484,54831,172766,39936,"16740"
"Charlottesville, VA Metro Area",201559,154343,24845,7804,9640,4927,"16820"
"Chattanooga, TN-GA Metro Area (part); Chattanooga, TN-GA Metro Area (part)",528143,420172,72816,7173,18690,9292,"16860"
"Chester, SC Micro Area",33140,19590,12349,104,479,618,"16900"
"Cheyenne, WY Metro Area",91738,74120,2063,935,11978,2642,"16940"
"Chicago-Joliet-Naperville, IL-IN-WI Metro Area (part); Chicago-Joliet-Naperville, IL-IN-WI Metro Area (part); Chicago-Joliet-Naperville, IL-IN-WI Metro Area (part)",9461105,5204489,1613644,526857,1957080,159035,"16980"
"Chico, CA Metro Area",220000,165416,3133,8921,31116,11414,"17020"
"Chillicothe, OH Micro Area",78064,70378,4804,295,748,1839,"17060"
"Cincinnati-Middletown, OH-KY-IN Metro Area (part); Cincinnati-Middletown, OH-KY-IN Metro Area (part); Cincinnati-Middletown, OH-KY-IN Metro Area (part)",2130151,1738775,253817,40118,55120,42321,"17140"
"Claremont, NH Micro Area",43742,42087,175,270,493,717,"17200"
"Clarksburg, WV Micro Area",94196,89932,1347,394,1065,1458,"17220"
"Clarksdale, MS Micro Area",26151,5918,19698,114,293,128,"17260"
"Clarksville, TN-KY Metro Area (part); Clarksville, TN-KY Metro Area (part)",273949,191406,48806,4387,18718,10632,"17300"
"Clearlake, CA Micro Area",64665,47938,1186,695,11088,3758,"17340"
"Cleveland, MS Micro Area",34145,11241,21839,186,639,240,"17380"
"Cleveland, TN Metro Area",115788,103851,4166,844,4897,2030,"17420"
"Cleveland-Elyria-Mentor, OH Metro Area",2077240,1490074,409582,40149,98133,39302,"17460"
"Clewiston, FL Micro Area",39140,13650,5057,275,19243,915,"17500"
"Clinton, IA Micro Area",49116,45454,1258,277,1243,884,"17540"
"Clovis, NM Micro Area",48376,24545,2774,574,19117,1366,"17580"
"Coeur d'Alene, ID Metro Area",138494,127454,381,925,5268,4466,"17660"
"Coffeyville, KS Micro Area",35471,28712,2022,202,1844,2691,"17700"
"Coldwater, MI Micro Area",45248,41116,1380,196,1804,752,"17740"
"College Station-Bryan, TX Metro Area",228660,136769,26400,10103,51561,3827,"17780"
"Colorado Springs, CO Metro Area",645613,469095,35896,16647,94959,29016,"17820"
"Columbia, MO Metro Area",172786,140917,15470,6137,5017,5245,"17860"
"Columbia, SC Metro Area",767598,447927,252329,12543,39153,15646,"17900"
"Columbia, TN Micro Area",80956,64919,10076,482,3909,1570,"17940"
"Columbus, GA-AL Metro Area (part); Columbus, GA-AL Metro Area (part)",294865,147518,117386,4872,16896,8193,"17980"
"Columbus, IN Metro Area",76794,66817,1360,2622,4762,1233,"18020"
"Columbus, MS Micro Area",59779,31847,25904,394,914,720,"18060"
"Columbus, NE Micro Area",32237,27167,128,149,4452,341,"18100"
"Columbus, OH Metro Area",1836536,1394399,270255,56906,66460,48516,"18140"
"Concord, NH Micro Area",146445,138048,1452,2307,2339,2299,"18180"
"Connersville, IN Micro Area",24277,23392,318,79,223,265,"18220"
"Cookeville, TN Micro Area",106042,97771,1536,892,4224,1619,"18260"
"Coos Bay, OR Micro Area",63043,54820,234,644,3391,3954,"18300"
"Corbin, KY Micro Area",35637,34521,205,123,310,478,"18340"
"Cordele, GA Micro Area",23439,12216,10033,183,748,259,"18380"
"Corinth, MS Micro Area",37057,31313,4209,116,1010,409,"18420"
"Cornelia, GA Micro Area",43041,34621,1412,955,5333,720,"18460"
"Corning, NY Micro Area",98990,93476,1487,1151,1371,1505,"18500"
"Corpus Christi, TX Metro Area",428185,155550,13338,6444,247231,5622,"18580"
"Corsicana, TX Micro Area",47735,28587,6490,239,11345,1074,"18620"
"Cortland, NY Micro Area",49336,46252,705,412,1094,873,"18660"
"Corvallis, OR Metro Area",85579,71552,715,4404,5467,3441,"18700"
"Coshocton, OH Micro Area",36901,35632,391,103,279,496,"18740"
"Crawfordsville, IN Micro Area",38124,35374,307,209,1739,495,"18820"
"Crescent City, CA Micro Area",28610,18513,967,938,5093,3099,"18860"
"Crestview-Fort Walton Beach-Destin, FL Metro Area",180822,139500,16333,5189,12296,7504,"18880"
"Crossville, TN Micro Area",56053,53712,146,237,1307,651,"18900"
"Crowley, LA Micro Area",61773,48555,11133,137,1060,888,"18940"
"Cullman, AL Micro Area",80406,74568,821,339,3454,1224,"18980"
"Culpeper, VA Micro Area",46689,33482,7212,593,4157,1245,"19020"
"Cumberland, MD-WV Metro Area (part); Cumberland, MD-WV Metro Area (part)",103299,92937,6728,676,1287,1671,"19060"
"Dallas-Fort Worth-Arlington, TX Metro Area",6371773,3201677,941695,337815,1752166,138420,"19100"
"Dalton, GA Metro Area",142227,97484,3843,1402,37625,1873,"19140"
"Danville, IL Metro Area",81625,65590,10394,559,3441,1641,"19180"
"Danville, KY Micro Area",53174,48108,2666,250,1168,982,"19220"
"Danville, VA Metro Area",106561,67357,34688,570,2577,1369,"19260"
"Daphne-Fairhope-Foley, AL Micro Area",182265,152200,16966,1340,7992,3767,"19300"
"Davenport-Moline-Rock Island, IA-IL Metro Area (part); Davenport-Moline-Rock Island, IA-IL Metro Area (part)",379690,311053,25132,5912,29024,8569,"19340"
"Dayton, OH Metro Area",841502,663353,124851,15241,17211,20846,"19380"
"Decatur, AL Metro Area",153829,119005,17976,706,9730,6412,"19460"
"Decatur, IL Metro Area",110768,86822,17916,1107,2072,2851,"19500"
"Decatur, IN Micro Area",34387,32521,102,78,1412,274,"19540"
"Defiance, OH Micro Area",39037,34345,666,117,3409,500,"19580"
"Del Rio, TX Micro Area",48879,8548,563,207,39199,362,"19620"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",494593,372982,49548,7368,55217,9478,"19660"
"Deming, NM Micro Area",25095,8997,189,112,15423,374,"19700"
"Denver-Aurora-Broomfield, CO Metro Area",2543482,1673709,135334,91954,571131,71354,"19740"
"DeRidder, LA Micro Area",35654,28730,4597,217,1003,1107,"19760"
"Des Moines-West Des Moines, IA Metro Area",569633,476434,26508,17107,38004,11580,"19780"
"Detroit-Warren-Livonia, MI Metro Area",4296250,2916144,972689,140558,168065,98794,"19820"
"Dickinson, ND Micro Area",24982,23536,186,292,458,510,"19860"
"Dillon, SC Micro Area",32062,15152,14730,76,833,1271,"19900"
"Dixon, IL Micro Area",36031,31824,1709,244,1802,452,"19940"
"Dodge City, KS Micro Area",33848,14897,605,470,17321,555,"19980"
"Dothan, AL Metro Area",145639,104154,33476,915,4304,2790,"20020"
"Douglas, GA Micro Area",50731,30683,12655,319,6391,683,"20060"
"Dover, DE Metro Area",162310,105891,37812,3266,9346,5995,"20100"
"Dublin, GA Micro Area",58414,35139,20729,500,1329,717,"20140"
"DuBois, PA Micro Area",81642,77031,1697,384,1907,623,"20180"
"Dubuque, IA Metro Area",93653,86981,2436,871,1807,1558,"20220"
"Duluth, MN-WI Metro Area (part); Duluth, MN-WI Metro Area (part)",279771,257081,3657,2290,3387,13356,"20260"
"Dumas, TX Micro Area",21904,8370,287,1323,11542,382,"20300"
"Duncan, OK Micro Area",45048,37173,841,210,2790,4034,"20340"
"Dunn, NC Micro Area",114678,73707,23591,983,12359,4038,"20380"
"Durango, CO Micro Area",51334,41245,176,266,6056,3591,"20420"
"Durant, OK Micro Area",42416,31294,640,214,2107,8161,"20460"
"Durham-Chapel Hill, NC Metro Area",504357,278907,134853,21985,56915,11697,"20500"
"Dyersburg, TN Micro Area",38335,31044,5433,188,1002,668,"20540"
"Eagle Pass, TX Micro Area",54258,1552,75,140,51914,577,"20580"
"East Liverpool-Salem, OH Micro Area",107841,102326,2323,319,1348,1525,"20620"
"Easton, MD Micro Area",37782,29829,4778,463,2073,639,"20660"
"East Stroudsburg, PA Micro Area",169842,119741,20461,3395,22288,3957,"20700"
"Eau Claire, WI Metro Area",161151,149946,1798,4046,2604,2757,"20740"
"Edwards, CO Micro Area",59507,39357,265,545,18547,793,"20780"
"Effingham, IL Micro Area",34242,33155,76,147,597,267,"20820"
"El Campo, TX Micro Area",41280,19681,5668,154,15445,332,"20900"
"El Centro, CA Metro Area",174528,23927,5114,2201,140271,3015,"20940"
"El Dorado, AR Micro Area",41639,25722,13674,196,1460,587,"20980"
"Elizabeth City, NC Micro Area",64094,40080,19883,630,2143,1358,"21020"
"Elizabethtown, KY Metro Area",119736,95235,12319,2092,5718,4372,"21060"
"Elk City, OK Micro Area",22119,17459,842,173,2619,1026,"21120"
"Elkhart-Goshen, IN Metro Area",197559,152555,10989,1879,27886,4250,"21140"
"Elko, NV Micro Area",50805,35392,331,452,11396,3234,"21220"
"Ellensburg, WA Micro Area",40915,35214,339,795,3121,1446,"21260"
"Elmira, NY Metro Area",88830,77643,5528,1041,2240,2378,"21300"
"El Paso, TX Metro Area",800647,105246,20649,7551,658134,9067,"21340"
