"NAME","P0050001","P0050002","P0050003","P0050004","P0050005","P0050006","P0050007","P0050008","P0050009","P0050010","P0050011","P0050012","P0050013","P0050014","P0050015","P0050016","P0050017","FIPS"
"Bellefontaine, OH Micro Area",45858,45319,43385,728,102,238,16,40,810,539,337,14,13,4,0,104,67,"13340"
"Bellingham, WA Metro Area",201140,185384,164675,1789,5070,6988,459,365,6038,15756,7141,140,613,102,33,6212,1515,"13380"
"Bemidji, MN Micro Area",44442,43766,33066,251,8821,304,18,17,1289,676,293,11,183,5,0,96,88,"13420"
"Bend, OR Metro Area",157733,146015,139470,524,1197,1412,183,141,3088,11718,5904,44,252,64,27,4522,905,"13460"
"Bennettsville, SC Micro Area",28933,28133,11657,14652,1265,74,3,23,459,800,330,77,43,1,1,283,65,"13500"
"Bennington, VT Micro Area",37125,36600,35517,291,71,264,13,20,424,525,341,17,23,5,3,93,43,"13540"
"Berlin, NH-VT Micro Area (part); Berlin, NH-VT Micro Area (part)",39361,38901,37895,157,143,187,1,23,495,460,288,9,21,0,0,81,61,"13620"
"Big Rapids, MI Micro Area",42798,42067,39633,1055,240,277,7,33,822,731,462,22,28,2,4,118,95,"13660"
"Big Spring, TX Micro Area",35012,21757,18801,2079,220,256,13,76,312,13255,7127,102,97,11,2,5507,409,"13700"
"Billings, MT Metro Area",158050,150907,140131,882,5453,937,107,86,3311,7143,3890,86,512,24,10,1719,902,"13740"
"Binghamton, NY Metro Area",251725,244253,222179,9199,401,7390,72,268,4744,7472,3821,790,81,47,25,1790,918,"13780"
"Birmingham-Hoover, AL Metro Area",1128047,1079517,733656,317019,2857,13748,319,970,10948,48530,19502,1354,494,118,187,24520,2355,"13820"
"Bishop, CA Micro Area",18546,14949,12296,102,1895,229,15,21,391,3597,1445,7,226,14,1,1655,249,"13860"
"Bismarck, ND Metro Area",108779,107393,100591,588,4243,439,50,62,1420,1386,768,15,150,7,1,265,180,"13900"
"Blackfoot, ID Micro Area",45607,37743,34176,78,2560,268,32,81,548,7864,2576,27,410,17,4,4399,431,"13940"
"Blacksburg-Christiansburg-Radford, VA Metro Area",162958,159396,143718,6896,264,5573,33,172,2740,3562,2171,117,58,29,9,878,300,"13980"
"Bloomington, IN Metro Area",192714,188165,172163,4477,442,7351,61,265,3406,4549,2623,128,79,25,6,1198,490,"14020"
"Bloomington-Normal, IL Metro Area",169572,162138,138835,12246,290,7180,48,203,3336,7434,4105,180,93,47,7,2400,602,"14060"
"Bloomsburg-Berwick, PA Micro Area",85562,83889,80706,1427,69,870,16,48,753,1673,929,75,34,19,1,487,128,"14100"
"Bluefield, WV-VA Micro Area (part); Bluefield, WV-VA Micro Area (part)",107342,106566,99403,5070,189,609,8,61,1226,776,474,54,9,5,0,144,90,"14140"
"Blytheville, AR Micro Area",46480,44785,28106,15761,120,229,1,33,535,1695,547,56,16,4,2,910,160,"14180"
"Bogalusa, LA Micro Area",47168,46281,31019,14561,121,108,3,14,455,887,463,64,12,2,0,282,64,"14220"
"Boise City-Nampa, ID Metro Area",616561,539023,505202,5108,3841,10799,1202,744,12127,77538,36971,468,1441,302,80,32747,5529,"14260"
"Bonham, TX Micro Area",33915,30689,27433,2273,294,122,6,23,538,3226,1739,39,75,3,1,1205,164,"14300"
"Boone, IA Micro Area",26306,25801,25194,202,72,87,3,17,226,505,315,4,9,1,0,136,40,"14340"
"Boone, NC Micro Area",51079,49366,47268,855,117,467,13,54,592,1713,1004,22,12,8,0,543,124,"14380"
"Borger, TX Micro Area",22150,17764,16482,512,300,91,3,23,353,4386,2462,46,64,0,2,1559,253,"14420"
"Boston-Cambridge-Quincy, MA-NH Metro Area (part); Boston-Cambridge-Quincy, MA-NH Metro Area (part)",4552402,4141886,3408585,301533,6347,292786,1047,46960,84628,410516,178955,29759,4991,1717,444,161077,33573,"14460"
"Boulder, CO Metro Area",294567,255291,233741,2265,1061,11996,153,478,5597,39276,23148,267,771,137,20,12649,2284,"14500"
"Bowling Green, KY Metro Area",125953,120679,104540,10370,310,3176,114,162,2007,5274,2416,110,42,33,16,2176,481,"14540"
"Bozeman, MT Micro Area",89513,87043,83545,277,718,1011,56,56,1380,2470,1539,12,63,16,12,550,278,"14580"
"Bradford, PA Micro Area",43450,42693,41039,1008,83,191,3,13,356,757,622,38,17,2,0,47,31,"14620"
"Brainerd, MN Micro Area",91067,90075,84362,356,3563,320,18,40,1416,992,540,18,159,0,1,155,119,"14660"
"Branson, MO Micro Area",83877,80830,78021,451,548,424,48,71,1267,3047,1653,51,44,9,8,984,298,"14700"
"Bremerton-Silverdale, WA Metro Area",251133,235447,198745,6329,3524,12082,2177,423,12167,15686,8624,321,516,314,133,3496,2282,"14740"
"Brenham, TX Micro Area",33718,29077,22394,5861,61,432,7,34,288,4641,2614,86,38,13,1,1645,244,"14780"
"Brevard, NC Micro Area",33090,32126,30049,1279,93,143,8,33,521,964,528,13,2,1,0,382,38,"14820"
"Bridgeport-Stamford-Norwalk, CT Metro Area",916829,761804,606716,92705,967,41801,256,5695,13664,155025,79184,6612,1417,483,186,56779,10364,"14860"
"Brigham City, UT Micro Area",49975,45823,44109,139,329,430,78,44,694,4152,1752,33,83,13,6,1842,423,"14940"
"Brookhaven, MS Micro Area",34869,34539,23702,10400,63,117,8,16,233,330,162,43,0,0,0,96,29,"15020"
"Brookings, OR Micro Area",22364,21163,19837,62,391,157,21,16,679,1201,737,5,35,3,0,278,143,"15060"
"Brookings, SD Micro Area",31965,31329,29513,246,272,866,9,22,401,636,289,8,10,3,0,273,53,"15100"
"Brownsville, TN Micro Area",18787,18064,8419,9431,25,21,0,21,147,723,198,34,6,0,0,457,28,"15140"
