"NAME","Total","White","Black","Asian","Hispanic","Other","p_White","p_Black","p_Asian","p_Hispanic","p_Other","entropy5","entropy4","entropy_rice","gini_simpson","FIPS"
"New York",19378102,11304247,2783857,1406194,3416922,466882,0.5833516099770761,0.14365994151542807,0.07256613676612911,0.1763290336690353,0.024093278072331335,0.732727493429318,0.7877272485134942,0.785916875189251,0.6021244619728501,"36"
"North Carolina",9535483,6223995,2019854,206579,800120,284935,0.6527194270075255,0.2118250328798237,0.021664240815069357,0.08390975056009224,0.029881548737489227,0.6232331432863598,0.6459546568998218,0.6478822077486368,0.5206844125283281,"37"
"North Dakota",672591,598007,7720,6839,13467,46558,0.8891094290586701,0.011478000746367406,0.010168140816632991,0.02002256943670076,0.06922185994162872,0.28928903754126095,0.16582646184339997,0.2025111172565262,0.20405671838953932,"38"
"Ohio",11536504,9359263,1389115,190765,354674,242687,0.8112737619646299,0.12041039469149406,0.01653577201550834,0.030743629092487637,0.021036442235880123,0.4229337599647515,0.42636970013103387,0.43241424323471056,0.3256750856101269,"39"
"Oklahoma",3751351,2575381,272071,64154,332007,507738,0.6865209360574364,0.07252613791671321,0.017101572206919588,0.08850331520564192,0.13534803861328892,0.6234262253744118,0.5063459295067362,0.5285186912846989,0.4969845715429052,"40"
"Oregon",3831074,3005848,64984,139436,450062,170744,0.7845966953392182,0.016962345284899222,0.036396060217056624,0.11747671801693206,0.04456818114189389,0.47860932655796173,0.444007502101994,0.4556407409691183,0.36700852925956395,"41"
"Pennsylvania",12702379,10094652,1327091,346288,719660,214688,0.7947056216792145,0.10447578363076712,0.02726166492119311,0.05665552885801943,0.016901400910805765,0.4650149318342435,0.4862488843450716,0.4901187661349004,0.35328908082898525,"42"
"Rhode Island",1052567,803685,51560,29988,130655,36679,0.7635475936448701,0.04898500523007086,0.02849034788284261,0.12412986536724029,0.03484718787497613,0.5163770020720784,0.508128998256361,0.5151159105059331,0.3971612916003697,"44"
"South Carolina",4625364,2962740,1279998,58307,235682,88637,0.6405420200442603,0.27673454456773566,0.012605926798409812,0.05095426003229151,0.019163248557302733,0.573768341295057,0.6094452167980063,0.6114563239374737,0.5100014362993521,"45"
"South Dakota",814180,689502,9959,7553,22119,85047,0.8468667862143506,0.01223193888329362,0.009276818393966936,0.02716721118180255,0.10445724532658626,0.3553833584475976,0.19106126019524594,0.24237340977898203,0.27093159325400284,"46"
"Tennessee",6346105,4800782,1049391,90311,290059,115562,0.75649268330732,0.16535985458797167,0.014230933777490287,0.04570661846912397,0.01820990985809406,0.4866193045302553,0.5085745326743677,0.5123287772386551,0.39775172332803443,"47"
"Texas",25145561,11397345,2886825,948426,9460921,452044,0.45325475140522814,0.1148045573530851,0.037717432512243416,0.37624616925428706,0.01797708947515627,0.7274656596097242,0.7938696223170776,0.7924486201685313,0.6380730835997079,"48"
"Utah",2763885,2221719,25951,54176,358340,103699,0.8038391611807293,0.009389319743766474,0.01960139441402229,0.12965083568961805,0.03751928897186388,0.4252832865663863,0.3930868155930124,0.40488873282352933,0.3351531927240662,"49"
"Vermont",625741,590223,5943,7875,9208,12492,0.9432384964386223,0.00949753971691163,0.012585079130183256,0.014715353476917766,0.01996353123736498,0.18306123194682822,0.14480036944737112,0.156165576446501,0.1094374671514039,"50"
"Virginia",8001024,5186450,1523704,436298,631825,222747,0.6482232774204901,0.1904386238561464,0.05453027012542395,0.07896801709381199,0.02783981150412747,0.6559147274665336,0.6889536803083826,0.6895733458154772,0.5335551599657498,"51"
"Washington",6724540,4876804,229603,475634,755790,386709,0.7252249224482269,0.03414404554066152,0.07073108346444515,0.11239281794739864,0.05750713059926776,0.5875081074934091,0.555273673369375,0.5636077850376388,0.45194089425010775,"53"
"West Virginia",1852994,1726256,62122,12285,22268,30063,0.9316036641241148,0.03352520299580031,0.006629810997769016,0.01201730820499149,0.016224013677324373,0.2069596123125156,0.1834088329783674,0.1920409039316189,0.130539085044452,"54"
"Wisconsin",5686986,4738411,350898,128052,336056,133569,0.8332025083233896,0.06170192787532799,0.022516672275964808,0.05909210959900376,0.023486781926313868,0.41292884220189924,0.4086976184521109,0.4158402242587211,0.29741594534758165,"55"
"Wyoming",563626,483874,4351,4279,50231,20891,0.8585019143900388,0.007719658071132275,0.007591913786801886,0.08912115480833034,0.037065358943696704,0.3375010201988367,0.2881721271835442,0.3037261821705722,0.25354081164496167,"56"
