"NAME","P0050001","FIPS"
"Defiance, OH Micro Area",39037,"19580"
"Del Rio, TX Micro Area",48879,"19620"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",494593,"19660"
"Deming, NM Micro Area",25095,"19700"
"Denver-Aurora-Broomfield, CO Metro Area",2543482,"19740"
"DeRidder, LA Micro Area",35654,"19760"
"Des Moines-West Des Moines, IA Metro Area",569633,"19780"
"Detroit-Warren-Livonia, MI Metro Area",4296250,"19820"
"Dickinson, ND Micro Area",24982,"19860"
"Dillon, SC Micro Area",32062,"19900"
"Dixon, IL Micro Area",36031,"19940"
"Dodge City, KS Micro Area",33848,"19980"
"Dothan, AL Metro Area",145639,"20020"
"Douglas, GA Micro Area",50731,"20060"
"Dover, DE Metro Area",162310,"20100"
"Dublin, GA Micro Area",58414,"20140"
"DuBois, PA Micro Area",81642,"20180"
"Dubuque, IA Metro Area",93653,"20220"
"Duluth, MN-WI Metro Area (part); Duluth, MN-WI Metro Area (part)",279771,"20260"
"Dumas, TX Micro Area",21904,"20300"
"Duncan, OK Micro Area",45048,"20340"
"Dunn, NC Micro Area",114678,"20380"
"Durango, CO Micro Area",51334,"20420"
"Durant, OK Micro Area",42416,"20460"
"Durham-Chapel Hill, NC Metro Area",504357,"20500"
"Dyersburg, TN Micro Area",38335,"20540"
"Eagle Pass, TX Micro Area",54258,"20580"
"East Liverpool-Salem, OH Micro Area",107841,"20620"
"Easton, MD Micro Area",37782,"20660"
"East Stroudsburg, PA Micro Area",169842,"20700"
"Eau Claire, WI Metro Area",161151,"20740"
"Edwards, CO Micro Area",59507,"20780"
"Effingham, IL Micro Area",34242,"20820"
"El Campo, TX Micro Area",41280,"20900"
"El Centro, CA Metro Area",174528,"20940"
"El Dorado, AR Micro Area",41639,"20980"
"Elizabeth City, NC Micro Area",64094,"21020"
"Elizabethtown, KY Metro Area",119736,"21060"
"Elk City, OK Micro Area",22119,"21120"
"Elkhart-Goshen, IN Metro Area",197559,"21140"
"Elko, NV Micro Area",50805,"21220"
"Ellensburg, WA Micro Area",40915,"21260"
"Elmira, NY Metro Area",88830,"21300"
"El Paso, TX Metro Area",800647,"21340"
"Emporia, KS Micro Area",36480,"21380"
"Enid, OK Micro Area",60580,"21420"
"Enterprise-Ozark, AL Micro Area",100199,"21460"
"Erie, PA Metro Area",280566,"21500"
"Escanaba, MI Micro Area",37069,"21540"
"Espanola, NM Micro Area",40246,"21580"
"Eufaula, AL-GA Micro Area (part); Eufaula, AL-GA Micro Area (part)",29970,"21640"
"Eugene-Springfield, OR Metro Area",351715,"21660"
"Eureka-Arcata-Fortuna, CA Micro Area",134623,"21700"
"Evanston, WY Micro Area",21118,"21740"
"Evansville, IN-KY Metro Area (part); Evansville, IN-KY Metro Area (part)",358676,"21780"
"Fairbanks, AK Metro Area",97581,"21820"
"Fairmont, MN Micro Area",20840,"21860"
"Fairmont, WV Micro Area",56418,"21900"
"Fallon, NV Micro Area",24877,"21980"
"Fargo, ND-MN Metro Area (part); Fargo, ND-MN Metro Area (part)",208777,"22020"
"Faribault-Northfield, MN Micro Area",64142,"22060"
"Farmington, MO Micro Area",65359,"22100"
"Farmington, NM Metro Area",130044,"22140"
"Fayetteville, NC Metro Area",366383,"22180"
"Fayetteville-Springdale-Rogers, AR-MO Metro Area (part); Fayetteville-Springdale-Rogers, AR-MO Metro Area (part)",463204,"22220"
"Fergus Falls, MN Micro Area",57303,"22260"
"Fernley, NV Micro Area",51980,"22280"
"Findlay, OH Micro Area",74782,"22300"
"Fitzgerald, GA Micro Area",27172,"22340"
"Flagstaff, AZ Metro Area",134421,"22380"
"Flint, MI Metro Area",425790,"22420"
"Florence, SC Metro Area",205566,"22500"
"Florence-Muscle Shoals, AL Metro Area",147137,"22520"
"Fond du Lac, WI Metro Area",101633,"22540"
"Forest City, NC Micro Area",67810,"22580"
"Forrest City, AR Micro Area",28258,"22620"
"Fort Collins-Loveland, CO Metro Area",299630,"22660"
"Fort Dodge, IA Micro Area",38013,"22700"
"Fort Leonard Wood, MO Micro Area",52274,"22780"
"Fort Madison-Keokuk, IA-MO Micro Area (part); Fort Madison-Keokuk, IA-MO Micro Area (part)",43001,"22800"
"Fort Morgan, CO Micro Area",28159,"22820"
"Fort Payne, AL Micro Area",71109,"22840"
"Fort Polk South, LA Micro Area",52334,"22860"
"Fort Smith, AR-OK Metro Area (part); Fort Smith, AR-OK Metro Area (part)",298592,"22900"
"Fort Valley, GA Micro Area",27695,"22980"
"Fort Wayne, IN Metro Area",416257,"23060"
"Frankfort, IN Micro Area",33224,"23140"
"Frankfort, KY Micro Area",70706,"23180"
"Fredericksburg, TX Micro Area",24837,"23240"
"Freeport, IL Micro Area",47711,"23300"
"Fremont, NE Micro Area",36691,"23340"
"Fremont, OH Micro Area",60944,"23380"
"Fresno, CA Metro Area",930450,"23420"
"Gadsden, AL Metro Area",104430,"23460"
"Gaffney, SC Micro Area",55342,"23500"
"Gainesville, FL Metro Area",264275,"23540"
"Gainesville, GA Metro Area",179684,"23580"
"Gainesville, TX Micro Area",38437,"23620"
"Galesburg, IL Micro Area",70626,"23660"
"Gallup, NM Micro Area",71492,"23700"
"Garden City, KS Micro Area",36776,"23780"
"Gardnerville Ranchos, NV Micro Area",46997,"23820"
"Georgetown, SC Micro Area",60158,"23860"
"Gettysburg, PA Micro Area",101407,"23900"
"Gillette, WY Micro Area",46133,"23940"
"Glasgow, KY Micro Area",52272,"23980"
"Glens Falls, NY Metro Area",128923,"24020"
"Gloversville, NY Micro Area",55531,"24100"
"Goldsboro, NC Metro Area",122623,"24140"
"Granbury, TX Micro Area",59672,"24180"
"Grand Forks, ND-MN Metro Area (part); Grand Forks, ND-MN Metro Area (part)",98461,"24220"
"Grand Island, NE Micro Area",72726,"24260"
"Grand Junction, CO Metro Area",146723,"24300"
"Grand Rapids-Wyoming, MI Metro Area",774160,"24340"
"Grants, NM Micro Area",27213,"24380"
"Grants Pass, OR Micro Area",82713,"24420"
"Great Bend, KS Micro Area",27674,"24460"
"Great Falls, MT Metro Area",81327,"24500"
"Greeley, CO Metro Area",252825,"24540"
"Green Bay, WI Metro Area",306241,"24580"
"Greeneville, TN Micro Area",68831,"24620"
"Greensboro-High Point, NC Metro Area",723801,"24660"
"Greensburg, IN Micro Area",25740,"24700"
"Greenville, MS Micro Area",51137,"24740"
"Greenville, NC Metro Area",189510,"24780"
"Greenville, OH Micro Area",52959,"24820"
"Greenville-Mauldin-Easley, SC Metro Area",636986,"24860"
"Greenwood, MS Micro Area",42914,"24900"
"Greenwood, SC Micro Area",69661,"24940"
"Grenada, MS Micro Area",21906,"24980"
"Gulfport-Biloxi, MS Metro Area",248820,"25060"
"Guymon, OK Micro Area",20640,"25100"
"Hagerstown-Martinsburg, MD-WV Metro Area (part); Hagerstown-Martinsburg, MD-WV Metro Area (part)",269140,"25180"
"Hammond, LA Micro Area",121097,"25220"
"Hanford-Corcoran, CA Metro Area",152982,"25260"
"Hannibal, MO Micro Area",38948,"25300"
"Harriman, TN Micro Area",54181,"25340"
"Harrisburg, IL Micro Area",24913,"25380"
"Harrisburg-Carlisle, PA Metro Area",549475,"25420"
"Harrison, AR Micro Area",45233,"25460"
"Harrisonburg, VA Metro Area",125228,"25500"
"Hartford-West Hartford-East Hartford, CT Metro Area",1212381,"25540"
"Hastings, NE Micro Area",37906,"25580"
"Hattiesburg, MS Metro Area",142842,"25620"
"Havre, MT Micro Area",16096,"25660"
"Hays, KS Micro Area",28452,"25700"
"Heber, UT Micro Area",23530,"25720"
"Helena, MT Micro Area",74801,"25740"
"Helena-West Helena, AR Micro Area",21757,"25760"
"Henderson, NC Micro Area",45422,"25780"
"Hereford, TX Micro Area",19372,"25820"
"Hickory-Lenoir-Morganton, NC Metro Area",365497,"25860"
"Hilo, HI Micro Area",185079,"25900"
"Hilton Head Island-Beaufort, SC Micro Area",187010,"25940"
"Hinesville-Fort Stewart, GA Metro Area",77917,"25980"
"Hobbs, NM Micro Area",64727,"26020"
"Holland-Grand Haven, MI Metro Area",263801,"26100"
"Homosassa Springs, FL Micro Area",141236,"26140"
"Honolulu, HI Metro Area",953207,"26180"
"Hood River, OR Micro Area",22346,"26220"
"Hope, AR Micro Area",31606,"26260"
"Hot Springs, AR Metro Area",96024,"26300"
"Houghton, MI Micro Area",38784,"26340"
"Houma-Bayou Cane-Thibodaux, LA Metro Area",208178,"26380"
