"NAME","P0050001","FIPS"
"Mesa County",146723,"08077"
"Mineral County",712,"08079"
"Moffat County",13795,"08081"
"Montezuma County",25535,"08083"
"Montrose County",41276,"08085"
"Morgan County",28159,"08087"
"Otero County",18831,"08089"
"Ouray County",4436,"08091"
"Park County",16206,"08093"
"Phillips County",4442,"08095"
"Pitkin County",17148,"08097"
"Prowers County",12551,"08099"
"Pueblo County",159063,"08101"
"Rio Blanco County",6666,"08103"
"Rio Grande County",11982,"08105"
"Routt County",23509,"08107"
"Saguache County",6108,"08109"
"San Juan County",699,"08111"
"San Miguel County",7359,"08113"
"Sedgwick County",2379,"08115"
"Summit County",27994,"08117"
"Teller County",23350,"08119"
"Washington County",4814,"08121"
"Weld County",252825,"08123"
"Yuma County",10043,"08125"
"Fairfield County",916829,"09001"
"Hartford County",894014,"09003"
"Litchfield County",189927,"09005"
"Middlesex County",165676,"09007"
"New Haven County",862477,"09009"
"New London County",274055,"09011"
"Tolland County",152691,"09013"
"Windham County",118428,"09015"
"Kent County",162310,"10001"
"New Castle County",538479,"10003"
"Sussex County",197145,"10005"
"District of Columbia",601723,"11001"
"Alachua County",247336,"12001"
"Baker County",27115,"12003"
"Bay County",168852,"12005"
"Bradford County",28520,"12007"
"Brevard County",543376,"12009"
"Broward County",1748066,"12011"
"Calhoun County",14625,"12013"
"Charlotte County",159978,"12015"
"Citrus County",141236,"12017"
"Clay County",190865,"12019"
"Collier County",321520,"12021"
"Columbia County",67531,"12023"
"DeSoto County",34862,"12027"
"Dixie County",16422,"12029"
"Duval County",864263,"12031"
"Escambia County",297619,"12033"
"Flagler County",95696,"12035"
"Franklin County",11549,"12037"
"Gadsden County",46389,"12039"
"Gilchrist County",16939,"12041"
"Glades County",12884,"12043"
"Gulf County",15863,"12045"
"Hamilton County",14799,"12047"
"Hardee County",27731,"12049"
"Hendry County",39140,"12051"
"Hernando County",172778,"12053"
"Highlands County",98786,"12055"
"Hillsborough County",1229226,"12057"
"Holmes County",19927,"12059"
"Indian River County",138028,"12061"
"Jackson County",49746,"12063"
"Jefferson County",14761,"12065"
"Lafayette County",8870,"12067"
"Lake County",297052,"12069"
"Lee County",618754,"12071"
"Leon County",275487,"12073"
"Levy County",40801,"12075"
"Liberty County",8365,"12077"
"Madison County",19224,"12079"
"Manatee County",322833,"12081"
"Marion County",331298,"12083"
"Martin County",146318,"12085"
"Miami-Dade County",2496435,"12086"
"Monroe County",73090,"12087"
"Nassau County",73314,"12089"
"Okaloosa County",180822,"12091"
"Okeechobee County",39996,"12093"
"Orange County",1145956,"12095"
"Osceola County",268685,"12097"
"Palm Beach County",1320134,"12099"
"Pasco County",464697,"12101"
"Pinellas County",916542,"12103"
"Polk County",602095,"12105"
"Putnam County",74364,"12107"
"St. Johns County",190039,"12109"
"St. Lucie County",277789,"12111"
"Santa Rosa County",151372,"12113"
"Sarasota County",379448,"12115"
"Seminole County",422718,"12117"
"Sumter County",93420,"12119"
"Suwannee County",41551,"12121"
"Taylor County",22570,"12123"
"Union County",15535,"12125"
"Volusia County",494593,"12127"
"Wakulla County",30776,"12129"
"Walton County",55043,"12131"
"Washington County",24896,"12133"
"Appling County",18236,"13001"
"Atkinson County",8375,"13003"
"Bacon County",11096,"13005"
"Baker County",3451,"13007"
"Baldwin County",45720,"13009"
"Banks County",18395,"13011"
"Barrow County",69367,"13013"
"Bartow County",100157,"13015"
"Ben Hill County",17634,"13017"
"Berrien County",19286,"13019"
"Bibb County",155547,"13021"
"Bleckley County",13063,"13023"
"Brantley County",18411,"13025"
"Brooks County",16243,"13027"
"Bryan County",30233,"13029"
"Bulloch County",70217,"13031"
"Burke County",23316,"13033"
"Butts County",23655,"13035"
"Calhoun County",6694,"13037"
"Camden County",50513,"13039"
"Candler County",10998,"13043"
"Carroll County",110527,"13045"
"Catoosa County",63942,"13047"
"Charlton County",12171,"13049"
"Chatham County",265128,"13051"
"Chattahoochee County",11267,"13053"
"Chattooga County",26015,"13055"
"Cherokee County",214346,"13057"
"Clarke County",116714,"13059"
"Clay County",3183,"13061"
"Clayton County",259424,"13063"
"Clinch County",6798,"13065"
"Cobb County",688078,"13067"
"Coffee County",42356,"13069"
"Colquitt County",45498,"13071"
"Columbia County",124053,"13073"
"Cook County",17212,"13075"
"Coweta County",127317,"13077"
