"NAME","P0050001","P0050002","P0050003","P0050004","P0050005","P0050006","P0050007","P0050008","P0050009","P0050010","P0050011","P0050012","P0050013","P0050014","P0050015","P0050016","P0050017","FIPS"
"Louisville/Jefferson County--Elizabethtown--Scottsburg, KY-IN CSA (part); Louisville/Jefferson County--Elizabethtown--Scottsburg, KY-IN CSA (part)",1427483,1371023,1130787,186250,3306,22069,954,2035,25622,56460,27856,2633,551,266,126,20415,4613,"350"
"Lubbock-Levelland, TX CSA",307825,205737,174235,20957,1122,5714,166,331,3212,102088,64068,1041,1160,108,30,31340,4341,"352"
"Lumberton-Laurinburg, NC CSA",170325,158639,52765,46231,54726,1247,67,182,3421,11686,2934,349,710,22,27,6875,769,"354"
"Macon-Warner Robins-Fort Valley, GA CSA",399888,383819,216968,152661,942,6515,187,503,6043,16069,7145,986,150,90,142,6233,1323,"356"
"Madison-Baraboo, WI CSA",630569,597189,533351,25830,2296,23657,187,685,11183,33380,16463,678,516,145,26,13078,2474,"358"
"Mansfield-Bucyrus, OH CSA",168259,165994,149953,11987,266,956,39,181,2612,2265,1473,100,34,8,5,397,248,"360"
"Midland-Odessa, TX CSA",274002,150071,129128,14271,1175,2643,148,279,2427,123931,80827,957,1189,152,25,36536,4245,"372"
"Milwaukee-Racine-Waukesha, WI CSA",1751316,1581267,1218523,276991,7208,47669,495,1724,28657,170049,84154,5786,2056,519,102,65327,12105,"376"
"Minneapolis-St. Paul-St. Cloud, MN-WI CSA (part); Minneapolis-St. Paul-St. Cloud, MN-WI CSA (part)",3615902,3426522,2882068,246860,20479,192241,1306,5059,78509,189380,85213,4677,3813,1039,216,76990,17432,"378"
"Mobile-Daphne-Fairhope, AL CSA",595257,577329,396104,159238,4687,8847,236,673,7544,17928,8696,859,210,62,57,6843,1201,"380"
"Monroe-Bastrop, LA CSA",204420,200462,121222,75177,436,1558,69,105,1895,3958,1689,354,39,31,13,1535,297,"384"
"Montgomery-Alexander City, AL CSA",427691,414579,228985,173226,1190,5998,158,339,4683,13112,4575,769,102,42,131,6687,806,"388"
"Myrtle Beach-Conway-Georgetown, SC CSA",329449,310899,245407,55881,1203,3043,238,426,4701,18550,7669,535,212,44,81,8909,1100,"396"
